Date;Bikes
2020-06-05T00:40:21.956Z;0;
2020-06-05T01:40:21.988Z;0;
2020-06-05T02:40:22.015Z;0;
2020-06-05T03:40:22.092Z;0;
2020-06-05T04:40:22.164Z;0;
2020-06-05T05:40:22.236Z;0;
2020-06-05T06:40:22.276Z;1;
2020-06-05T07:40:22.308Z;4;
2020-06-05T08:40:22.344Z;5;
2020-06-05T09:40:22.396Z;6;
2020-06-05T10:40:22.428Z;7;
2020-06-05T11:40:22.500Z;7;
2020-06-05T12:40:22.536Z;6;
2020-06-05T13:40:22.608Z;5;
2020-06-05T14:40:22.624Z;5;
2020-06-05T15:40:22.720Z;3;
2020-06-05T16:40:22.788Z;3;
2020-06-05T17:40:22.817Z;3;
2020-06-05T18:40:22.836Z;4;
2020-06-05T19:40:22.936Z;3;
2020-06-05T20:40:23.036Z;3;
2020-06-05T21:40:23.053Z;3;
2020-06-05T22:40:23.068Z;3;
2020-06-05T23:40:23.160Z;3;
2020-06-06T00:40:23.244Z;5;
2020-06-06T01:40:23.292Z;5;
2020-06-06T02:40:23.389Z;6;
2020-06-06T03:40:23.488Z;6;
2020-06-06T04:40:23.500Z;6;
2020-06-06T05:40:23.576Z;6;
2020-06-06T06:40:23.584Z;6;
2020-06-06T07:40:23.622Z;6;
2020-06-06T08:40:23.696Z;6;
2020-06-06T09:40:23.789Z;6;
2020-06-06T10:40:23.872Z;6;
2020-06-06T11:40:23.944Z;6;
2020-06-06T12:40:24.036Z;4;
2020-06-06T13:40:24.126Z;0;
2020-06-06T14:40:24.157Z;1;
2020-06-06T15:40:24.220Z;0;
2020-06-06T16:40:24.308Z;1;
2020-06-06T17:40:24.344Z;1;
2020-06-06T18:40:24.368Z;0;
2020-06-06T19:40:24.380Z;0;
2020-06-06T20:40:24.453Z;0;
2020-06-06T21:40:24.553Z;0;
2020-06-06T22:40:24.596Z;0;
2020-06-06T23:40:24.687Z;0;
2020-06-07T00:40:24.776Z;1;
2020-06-07T01:40:24.836Z;0;
2020-06-07T02:40:24.924Z;1;
2020-06-07T03:40:24.956Z;1;
2020-06-07T04:40:25.020Z;1;
2020-06-07T05:40:25.076Z;1;
2020-06-07T06:40:25.140Z;1;
2020-06-07T07:40:25.200Z;1;
2020-06-07T08:40:25.236Z;0;
2020-06-07T09:40:25.296Z;0;
2020-06-07T10:40:25.396Z;0;
2020-06-07T11:40:25.484Z;0;
2020-06-07T12:40:25.532Z;0;
2020-06-07T13:40:25.588Z;1;
2020-06-07T14:40:25.596Z;1;
2020-06-07T15:40:25.697Z;1;
2020-06-07T16:40:25.776Z;1;
2020-06-07T17:40:25.792Z;3;
2020-06-07T18:40:25.876Z;4;
2020-06-07T19:40:25.896Z;4;
2020-06-07T20:40:25.964Z;4;
2020-06-07T21:40:26.064Z;4;
2020-06-07T22:40:26.116Z;3;
2020-06-07T23:40:26.176Z;3;
2020-06-08T00:40:26.256Z;4;
2020-06-08T01:40:26.310Z;4;
2020-06-08T02:40:26.336Z;4;
2020-06-08T03:40:26.348Z;4;
2020-06-08T04:40:26.356Z;4;
2020-06-08T05:40:26.380Z;4;
2020-06-08T06:40:26.387Z;4;
2020-06-08T07:40:26.476Z;6;
2020-06-08T08:40:26.511Z;11;
2020-06-08T09:40:26.596Z;12;
2020-06-08T10:40:26.696Z;12;
2020-06-08T11:40:26.708Z;13;
2020-06-08T12:40:26.730Z;11;
2020-06-08T13:40:26.787Z;11;
2020-06-08T14:40:26.868Z;11;
2020-06-08T15:40:26.960Z;10;
2020-06-08T16:40:27.008Z;7;
2020-06-08T17:40:27.096Z;4;
2020-06-08T18:40:27.141Z;3;
2020-06-08T19:40:27.196Z;3;
2020-06-08T20:40:27.292Z;2;
2020-06-08T21:40:27.384Z;1;
2020-06-08T22:40:27.436Z;1;
2020-06-08T23:40:27.500Z;1;
2020-06-09T00:40:27.601Z;1;
2020-06-09T01:40:27.696Z;1;
